classification,Category,Bulgarian,Pronunciation,English,Grammar_Notes,Unnamed: 6,Unnamed: 7,Unnamed: 8
Bulgarian_Phrases,Directions & Travel,Къде е най-близката спирка?,Ka-de e nai-bli-zka-ta spir-ka?,Where is the nearest stop?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Къде е гарата?,Ka-de e ga-ra-ta?,Where is the train station?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Къде е летището?,Ka-de e le-tish-te-to?,Where is the airport?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Къде е автобусната спирка?,Ka-de e av-to-bus-na-ta spir-ka?,Where is the bus stop?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Къде е метрото?,Ka-de e me-tro-to?,Where is the metro?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Къде е изходът?,Ka-de e iz-hod-Å­t?,Where is the exit?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Къде е входът?,Ka-de e vkhod-Å­t?,Where is the entrance?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Къде е паркингът?,Ka-de e par-king-Å­t?,Where is the parking lot?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Къде е таксито?,Ka-de e tak-si-to?,Where is the taxi?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Може ли да взема такси?,Mo-ga li da vze-ma tak-si?,Can I take a taxi?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Колко струва пътуването?,Kol-ko stru-va pa-tu-va-ne-to?,How much is the trip?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Колко време отнема?,Kol-ko vre-me ot-ne-ma?,How long does it take?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Има ли автобус до там?,I-ma li av-to-bus do tam?,Is there a bus to there?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Кой номер автобус да взема?,Koy no-mer av-to-bus tryab-va da vze-ma?,Which bus number should I take?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Къде трябва да сляза?,Ka-de tryab-va da slya-za?,Where should I get off?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Тази пътя ли е правилният?,To-va li e pra-vil-niyat pÅ­t?,Is this the right way?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Загубил съм се.,Za-goo-bih se.,I'm lost.,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Можете ли да ми покажете на картата?,Mo-zhe-te li da mi po-ka-zhe-te na kar-ta-ta?,Can you show me on the map?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Има ли влак до София?,I-ma li vlak do So-fi-ya?,Is there a train to Sofia?,nan,nan,nan,nan
Bulgarian_Phrases,Directions & Travel,Кога тръгва следващият автобус?,Ko-ga trÅ­g-va sled-vash-ti-yat av-to-bus?,When does the next bus leave?,nan,nan,nan,nan
Bulgarian_Phrases,Emergencies & Health,Помощ!,Po-mosht!,Help!,nan,nan,nan,nan
Bulgarian_Phrases,Emergencies & Health,Обадете се на полицията!,Iz-vi-kai-te po-li-tsi-ya!,Call the police!,nan,nan,nan,nan
Bulgarian_Phrases,Emergencies & Health,Обадете се на линейка!,Iz-vi-kai-te li-ney-ka!,Call an ambulance!,nan,nan,nan,nan
Bulgarian_Phrases,Emergencies & Health,Аз съм болен.,Bo-len sam.,I am sick. (m.),nan,nan,nan,nan
Bulgarian_Phrases,Emergencies & Health,Аз съм болна.,Bol-na sam.,I am sick. (f.),nan,nan,nan,nan
Bulgarian_Phrases,Emergencies & Health,Къде е аптеката?,Ka-de e ap-te-ka-ta?,Where is the pharmacy?,nan,nan,nan,nan
Bulgarian_Phrases,Emergencies & Health,Изкълчих си глезена.,Oo-vlya-koh si kra-ka.,I sprained my ankle.,nan,nan,nan,nan
Bulgarian_Phrases,Emergencies & Health,Имам главоболие.,Gla-vo-bo-li-e me e.,I have a headache.,nan,nan,nan,nan
Bulgarian_Phrases,Emergencies & Health,Изгубих си паспорта.,Za-goo-bih si pas-por-ta.,I lost my passport.,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Страхотно! / Супер!,Soo-per!,Great! / Super!,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Потрясаващо!,Stra-hot-no!,Awesome!,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Жалко. / Колко жалко.,Zhal-ko.,Too bad. / What a pity.,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Вярно ли е?,Vyar-no li e?,Is it true?,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Не вярвам.,Ne vyar-vam.,I don't believe it.,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Харесва ми.,Ha-re-sva mi.,I like it.,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Не ми харесва.,Ne mi ha-re-sva.,I don't like it.,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Обичам те.,O-bi-cham te.,I love you.,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Липсваш ми.,Lips-vash mi.,I miss you.,nan,nan,nan,nan
Bulgarian_Phrases,Expressions & Feelings,Късмет!,Kas-met!,Good luck!,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Ед-на во-да (Една вода - One water),Ð¼Ð¾Ð»Ñ.,Ed-na vo-da,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Едно кафе.,Ed-no ka-fe.,One coffee.,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Една бира.,Ed-na bi-ra.,One beer.,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Хляб,Hlyab,Bread,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Мляко,Mlya-ko,Milk,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Кафе,Ka-fe,Coffee,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Чай,Chai,Tea,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Закуска,Za-koo-ska,Breakfast,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Обяд,O-byad,Lunch,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Вечеря,Ve-che-rya,Dinner,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Много е вкусно.,Vkoo-sno e.,It's delicious.,nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Аз съм гладен.,Az sam gla-den.,I am hungry. (m.),nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Аз съм гладна.,Az sam glad-na.,I am hungry. (f.),nan,nan,nan,nan
Bulgarian_Phrases,Food & Drinks,Аз съм жадън.,Az sam zha-den.,I am thirsty. (m.),nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Обичам ябълки.,Obicham yÇŽbÇŽlki.,I love apples.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Бананът е жълт.,BananÇŽt e zhÇŽlt.,The banana is yellow.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Портокалът е сладък.,PortokalÇŽt e sladÇŽk.,The orange is sweet.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Ям грозде.,Yam grozde.,I eat grapes.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Динята е голяма.,Dinyata e golyama.,The watermelon is big.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Крушата е сочна.,Krushata e sochna.,The pear is juicy.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Лимонът е кисел.,LimonÇŽt e kisel.,The lemon is sour.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Черешите са вкусни.,Chereshite sa vkusni.,The cherries are tasty.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Ягодите са червени.,Yagodite sa cherveni.,The strawberries are red.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Сливите са лилави.,Slivite sa lilavi.,The plums are purple.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Морковът е оранжев.,MorkovÇŽt e oranzhev.,The carrot is orange.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Картофите са в торбата.,Kartofite sa v chantata,The potatoes are in the bag.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Лукът е бял.,LukÇŽt e byal.,The onion is white.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Чесънът е силен.,ChesÇŽnÇŽt e silen.,The garlic is strong.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Доматите са червени.,Domatite sa cherveni.,The tomatoes are red.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Краставицата е зелена.,Krastavitsata e zelena.,The cucumber is green.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Пиперът е лютив.,PiperÇŽt e lyutiv.,The pepper is spicy.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Зелето е пресно.,ZeletÐ¾ e pryÃ¡sno.,The cabbage is fresh.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Спанакът е здравословен.,SpanakÇŽt e zdravoslovÐµÐ½.,The spinach is healthy.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Харесваш ли плодове и зеленчуци?,Kharesvash li plodove i zelenchutsi?,Do you like fruits and vegetables?,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Ябълката на раздора (причина за конфликт).,YÇŽbÇŽlkata na razdora.,The apple of discord (cause of conflict).,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Здрав като морков.,Zdrav kato morkov.,Healthy as a carrot.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Като две капки вода (идентични).,Kato dve kapki voda.,Like two drops of water (identical).,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Доматите са червени но не винаги сладки (външността може да мами).,"Domatite sa cherveni, no ne vinagi sladki.","Tomatoes are red, but not always sweet (looks can deceive).",nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Горчив като лимон.,Gorchiv kato limon.,Bitter like a lemon.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Лютив характер (пламенна личност).,Piperliv kharakter.,Spicy character (fiery personality).,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Като зеле без листа (празноглав).,Kato zelka bez lista.,Like a cabbage without leaves (empty-headed).,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Изяж си зеленчуците!,Yaz zelenchutsite si!,Eat your vegetables!,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,По една ябълка на ден пази доктора далеч.,Edna yÇŽbÇŽlka na den dÇŽrzhi doktora dalech.,An apple a day keeps the doctor away.,nan,nan,nan,nan
Bulgarian_Phrases,Fruits and Vegetables,Плодът на труда.,PlodÇŽt na truda.,The fruit of labour.,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,Къде е...?,Ka-de e...?,Where is...?,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,Къде е тоалетната?,Ka-de e to-a-let-na-ta?,Where is the toilet?,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,Наляво.,Na-lya-vo.,To the left.,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,Надясно.,Na-dyas-no.,To the right.,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,Отивам до...,O-ti-vam na...,I'm going to...,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,Колко далеч е?,Kol-ko e da-lech?,How far is it?,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,Искам един билет.,Is-kam edin bi-let.,I want one ticket.,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,За кой час е?,Za kol-ko chasa e?,For what time is it?,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,Спира ли тук?,Spi-ra li took?,Does it stop here?,nan,nan,nan,nan
Bulgarian_Phrases,Getting Around,Може ли сметката?,Mo-zhe li smet-ka-ta?,Can I have the bill?,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Здравей.,Zdra-vey.,Hello. (inf.),nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Добро утро.,Dob-ro oo-tro.,Good morning.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Добър ден.,Dob-uhr den.,Good day.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Добър вечер.,Dob-uhr ve-cher.,Good evening.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Лека нощ.,Le-ka nosht.,Good night.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Довиждане.,Do-vizh-da-ne.,Goodbye.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Как се казваш?,Kak se kaz-vash?,What's your name? (inf.),nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Казвам се...,Kaz-vam se...,My name is...,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Как си?,Kak si?,How are you? (inf.),nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Добре съм.,Do-bre sam.,I'm fine.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Много добре.,Mnogo do-bre.,Very well.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Благодаря.,Blago-da-rya.,Thank you.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Моля. / Заповядай.,Mo-lya.,You're welcome. / Please.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Извинете.,Iz-vi-ne-te.,Excuse me. / Sorry. (form.),nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Съжалявам.,Sa-zha-lya-vam.,I'm sorry.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Да.,Da.,Yes.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Не.,Ne.,No.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Разбирам.,Raz-bi-ram.,I understand.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Не разбирам.,Ne raz-bi-ram.,I don't understand.,nan,nan,nan,nan
Bulgarian_Phrases,Greetings & Basics,Говорите ли английски?,Go-vo-ri-te li an-gliyski?,Do you speak English?,nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Имам нужда от помощ.,Noozh-da-ya se ot pomosht.,I need help.,nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Нямам представа.,Nya-mam i-de-ya.,I have no idea.,nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Чакай!,Cha-kai!,Wait! (inf.),nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Побързай!,Buhr-zai!,Hurry up! (inf.),nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Тихо!,Ti-ho!,Quiet!,nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Внимавай!,Vni-ma-vai!,Be careful! (inf.),nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Пусни ме.,Poos-ni me.,Let me go.,nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Остани тук.,O-sta-ni took.,Stay here.,nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Ела с мен.,E-la s men.,Come with me.,nan,nan,nan,nan
Bulgarian_Phrases,Practical Needs,Това е за мен.,To-va e za men.,This is for me.,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Колко струва?,Kol-ko stroo-va?,How much does it cost?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Искам това.,Is-kam to-va.,I want this.,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Мога ли да го видя?,Mo-zhe li da go vi-dya?,Can I see it?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Имате ли...?,I-ma-te li...?,Do you have...?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Това е твърде скъпо.,To-va e tva-rde ska-po.,This is too expensive.,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Мога ли да платя с карта?,Mo-zhe li s kar-ta?,Can I pay with a card?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Бих искал да поръчам.,Is-kam da po-ra-cham.,I would like to order.,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Безплатно ли е?,Bez-plat-no li e?,Is it free?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Къде мога да го купя?,Ka-de mo-ga da go koo-pya?,Where can I buy it?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Менюто,Me-nyu-to,The menu,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Може ли менюто моля?,"Mo-zhe li me-nyu-to, molya?","Can I have the menu, please?",nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Какво препоръчвате?,Kak-vo pre-po-rÅ­ch-va-te?,What do you recommend?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Имате ли нещо вегетарианско?,I-ma-te li ne-shto ve-ge-ta-ri-an-sko?,Do you have anything vegetarian?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Имате ли ястия без глутен?,I-ma-te li bez-glu-te-no-vi yas-ti-ya?,Do you have gluten-free dishes?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Не ям това.,To-va ne yam.,I donâ€™t eat this.,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Без месо моля.,"Bez me-so, molya.","No meat, please.",nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Само разглеждам.,Sa-mo gle-dam.,I'm just looking.,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Колко струва това ястие?,Kol-ko stroo-va to-va yas-ti-e?,How much is this dish?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Това е много вкусно!,To-va e mno-go vkus-no!,This is very tasty!,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Сметката моля.,"Smet-ka-ta, molya.","The bill, please.",nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Можем ли да разделим сметката?,Mo-zhe li da raz-de-lim smet-ka-ta?,Can we split the bill?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Приемате ли карти?,Pri-e-ma-te li kar-ti?,Do you accept cards?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Приемате ли кеш?,Pri-e-ma-te li plash-ta-ne v broy?,Do you accept cash?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Работи ли това? (напр. карта),Ra-bo-ti li to-va?,Does this work? (e.g. card),nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Имам нужда от торба.,I-mam nuzh-da ot chan-ta.,I need a bag.,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Мога ли да го пробвам?,Mo-zhe li da go prob-vam?,Can I try it on?,nan,nan,nan,nan
Bulgarian_Phrases,Shopping and Dining,Имате ли друга размер?,I-ma-te li drug raz-mer?,Do you have another size?,nan,nan,nan,nan
